TASK-ID, PR-NUMBER, TASK-NAME, STATUS, PR-LINK
1,1,setup-admin-with-mantine-ui,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/1
2,2,create-dashboard-ui-and-make-colors-accessible,MERGED,"https://github.com/Naman-Mishra-3116/Mistubishi/pull/2"
3,3,create-user-profile-with-ui-and-mInput-Ui-element,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/3
4,4,create-login-route-page-with-auth-and-validation,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/4
5,5,create-api-for-admin-login-logout-user-persistance,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/5
6,6,setup-axios-with-tanstack-query-in-admin,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/6
7,7,create-mimage-cropper-with-multer-config,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/7
8,8,create-admin-creation-page-with-paginated-table,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/8
9,9,create-atc-document-and-router-api-with-view-setup,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/9
10,10,create-web-panel-home-page-with-login-ui,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/10
11,11,create-ui-for-center-view-with-pagination-and-api,MERGED,https://github.com/Naman-Mishra-3116/Mistubishi/pull/11
12,12,mutate-login-api-integrate-it-and-setup-post-login-system,OPEN,https://github.com/Naman-Mishra-3116/Mistubishi/pull/12
